"_id","seller_name","supplier_code","asin_count","last_update_time"
"ObjectId(""66e9af18127f1c933f6c4b64"")","IYMO","https://iymo.co.uk",36,"2024-09-17 16:32:20"
"ObjectId(""66e9af18127f1c933f6c4b65"")","PNA Store","https://pna247.co.uk",14,"2024-09-17 16:32:20"
"ObjectId(""66e9af18127f1c933f6c4b66"")","G2A.com","https://www.g2a.com",12,"2024-09-17 16:32:20"
"ObjectId(""66e9af18127f1c933f6c4b67"")","Gamers247","https://www.gamers247.co.uk",29,"2024-09-17 16:32:20"
"ObjectId(""66e9af18127f1c933f6c4b68"")","Yorkshire Trading Company","https://www.yorkshiretrading.com",84,"2024-09-17 16:32:20"
"ObjectId(""66e9af18127f1c933f6c4b69"")","Cut Price Wholesaler","https://www.cutpricewholesaler.com",108,"2024-09-17 16:32:20"
"ObjectId(""66e9af18127f1c933f6c4b6a"")","Choice Wholesale","https://www.choicewholesale.co.uk",45,"2024-09-17 16:32:20"
"ObjectId(""66e9af18127f1c933f6c4b6b"")","Ditzy Doll","https://ditzydoll.co.uk",10,"2024-09-17 16:32:20"
"ObjectId(""66e9af18127f1c933f6c4b6c"")","Booghe","https://www.booghe.co.uk",31,"2024-09-17 16:32:20"
"ObjectId(""66e9af18127f1c933f6c4b6d"")","Travfurler","https://travfurler.com",22,"2024-09-17 16:32:20"
"ObjectId(""66e9af18127f1c933f6c4b6e"")","reactivevideogames.co.uk","https://reactivevideogames.co.uk",78,"2024-09-17 16:32:20"
"ObjectId(""66e9af18127f1c933f6c4b6f"")","saynama","https://saynama.com",19,"2024-09-17 16:32:20"
"ObjectId(""66e9af18127f1c933f6c4b70"")","FurwebsMarket","https://thepinkypawtoystore.co.uk",4,"2024-09-17 16:32:20"
"ObjectId(""66e9af18127f1c933f6c4b71"")","World of Books","https://www.wob.com",474,"2024-09-17 16:32:20"
"ObjectId(""66e9af18127f1c933f6c4b72"")","Pcgameskey","https://pcgameskey.com",3,"2024-09-17 16:32:20"
"ObjectId(""66e9af18127f1c933f6c4b73"")","IronmongeryDirect","https://www.ironmongerydirect.co.uk",19,"2024-09-17 16:32:20"
"ObjectId(""66e9af18127f1c933f6c4b74"")","Lock Shop Direct","https://www.lockshopdirect.co.uk",6,"2024-09-17 16:32:20"
"ObjectId(""66e9af18127f1c933f6c4b75"")","safe.co.uk","https://www.safe.co.uk",4,"2024-09-17 16:32:20"
"ObjectId(""66e9af18127f1c933f6c4b76"")","Smart & Secure CentreOpens in a new window","https://www.smart-secure.co.uk",8,"2024-09-17 16:32:20"
"ObjectId(""66e9af18127f1c933f6c4b77"")","Stronghold DirectOpens in a new window","https://www.strongholddirect.co.uk",8,"2024-09-17 16:32:20"
"ObjectId(""66e9af18127f1c933f6c4b78"")","Elite Frames and Tools","https://www.eliteframes.co.uk",11,"2024-09-17 16:32:20"
"ObjectId(""66e9af18127f1c933f6c4b79"")","Locksmith Supplies","https://www.locksmithsupplies.co.uk",4,"2024-09-17 16:32:20"
"ObjectId(""66e9af18127f1c933f6c4b7a"")","House of Fraser","https://www.houseoffraser.co.uk",12,"2024-09-17 16:32:20"
"ObjectId(""66e9af18127f1c933f6c4b7b"")","Smyths Toys","https://www.smythstoys.com",231,"2024-09-17 16:32:20"
